department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,avg_training_score,,3,
Sales & Marketing,Bachelors,Male,2,30,5,3,0,50,,1,
Technology,Masters & above,Male,1,36,1,7,0,81,,1,
Sales & Marketing,Bachelors,Female,2,28,3,5,1,50,,1,
Analytics,Bachelors,Male,1,28,3,1,0,78,,1,
Sales & Marketing,Masters & above,Female,1,33,3,9,0,52,,1,
Technology,Bachelors,Male,2,31,4,2,1,80,,1,
Technology,Bachelors,Male,1,25,4,3,1,78,,1,
Operations,Masters & above,Male,2,42,3,4,0,59,,1,
Technology,Bachelors,Female,2,25,2,3,0,75,,1,
Procurement,Masters & above,Male,1,32,2,6,0,68,,1,
Operations,Bachelors,Male,1,36,5,9,0,55,,1,
Technology,Masters & above,Female,2,35,3,9,0,78,,1,
Sales & Marketing,Bachelors,Female,1,30,1,5,0,47,,1,
Operations,Masters & above,Male,1,33,5,5,1,61,,1,
Sales & Marketing,Masters & above,Male,1,32,1,8,0,48,,1,
Operations,Bachelors,Male,1,48,3,7,0,60,,1,
HR,Masters & above,Male,1,32,5,3,1,46,,1,
Sales & Marketing,Masters & above,Male,4,36,1,7,0,50,,1,
Sales & Marketing,Masters & above,Male,1,36,1,7,0,48,,1,
Analytics,Bachelors,Male,2,31,5,4,0,83,,1,
Technology,Bachelors,Male,1,33,2,7,0,79,,1,
Sales & Marketing,Bachelors,Male,1,52,4,7,0,48,,1,
Technology,Masters & above,Female,1,45,5,12,1,77,,1,
Sales & Marketing,Bachelors,Male,1,41,5,6,1,53,,1,
Technology,Masters & above,Female,1,41,2,12,0,84,,1,
Sales & Marketing,Masters & above,Male,1,36,4,2,1,47,,1,
Sales & Marketing,Masters & above,Male,1,35,3,2,0,47,,1,
Sales & Marketing,N/A,Male,1,28,4,4,0,50,,1,
Sales & Marketing,Bachelors,Male,1,31,5,2,1,51,,1,
Sales & Marketing,Bachelors,Male,1,30,1,6,0,49,,1,
R&D,Bachelors,Male,1,32,1,2,0,83,,1,
Sales & Marketing,Masters & above,Male,1,44,5,19,0,49,,1,
Sales & Marketing,Bachelors,Male,1,38,1,5,0,52,,1,
Analytics,Bachelors,Male,2,37,5,7,0,82,,1,
Operations,Masters & above,Female,1,38,3,7,0,57,,1,
Procurement,Bachelors,Male,5,35,3,3,1,65,,3,
Sales & Marketing,Bachelors,Male,1,33,N/A,1,0,52,,1,
Sales & Marketing,Masters & above,Male,1,45,3,5,0,45,,3,
Analytics,Bachelors,Male,1,29,N/A,1,0,83,,1,
Operations,Bachelors,Female,1,33,4,9,1,61,,1,
Analytics,Bachelors,Male,1,34,3,7,1,84,,3,
Procurement,Below Secondary,Female,2,23,N/A,1,1,70,,1,
Sales & Marketing,Masters & above,Male,1,50,1,3,0,55,,1,
Technology,Bachelors,Male,1,28,3,4,1,78,,1,
Operations,Bachelors,Male,1,26,5,3,0,64,,1,
HR,Bachelors,Female,1,29,3,5,1,47,,1,
Operations,Bachelors,Male,1,34,5,7,0,78,,1,
Sales & Marketing,Masters & above,Male,1,43,1,14,0,53,,1,
Operations,Bachelors,Male,1,31,2,7,0,65,,3,
Operations,Bachelors,Male,1,28,N/A,1,0,59,,3,
Sales & Marketing,Bachelors,Male,2,27,N/A,1,0,47,,1,
Sales & Marketing,Masters & above,Male,1,33,3,5,0,45,,1,
HR,Masters & above,Male,1,34,4,4,0,48,,1,
Technology,Bachelors,Male,1,44,4,4,0,83,,1,
Analytics,Bachelors,Male,1,28,1,3,0,84,,1,
Procurement,Bachelors,Female,3,27,1,6,0,67,,1,
Analytics,Bachelors,Male,1,29,3,4,1,86,,1,
Operations,Bachelors,Male,1,32,5,6,0,61,,1,
Procurement,Masters & above,Male,1,31,4,6,0,72,,1,
Technology,Masters & above,Male,2,30,3,8,0,82,,1,
Operations,Bachelors,Male,1,38,4,4,1,59,,1,
Finance,Masters & above,Female,1,43,3,6,0,55,,1,
Legal,Bachelors,Male,1,38,3,6,0,58,,1,
Analytics,Bachelors,Male,2,32,2,3,1,85,,1,
Finance,Masters & above,Female,1,41,5,10,1,57,,1,
Technology,Bachelors,Male,1,30,4,4,1,88,,1,
Sales & Marketing,Bachelors,Male,1,27,4,1,0,48,,1,
Sales & Marketing,Bachelors,Male,1,38,3,11,0,51,,1,
HR,Bachelors,Female,1,36,4,8,0,47,,1,
Finance,Bachelors,Male,2,35,5,5,0,62,,3,
Operations,Bachelors,Male,1,29,N/A,1,0,59,,1,
Procurement,Masters & above,Female,1,44,5,7,1,74,,1,
Operations,Masters & above,Female,1,40,4,4,1,58,,1,
HR,Bachelors,Male,1,33,5,8,0,52,,3,
Finance,Bachelors,Female,1,29,N/A,1,0,64,,1,
Technology,Bachelors,Male,1,31,4,4,1,81,,1,
Sales & Marketing,Bachelors,Male,2,28,4,2,0,48,,1,
Analytics,Bachelors,Male,1,27,3,5,1,85,,1,
Finance,Masters & above,Female,1,35,4,7,0,57,,1,
Sales & Marketing,Bachelors,Male,1,49,3,10,1,54,,1,
Technology,Bachelors,Female,1,29,4,2,0,79,,1,
Operations,Bachelors,Female,1,46,4,9,0,59,,1,
Sales & Marketing,Bachelors,Male,1,43,5,4,0,48,,1,
Sales & Marketing,Bachelors,Male,1,35,3,4,0,50,,1,
Sales & Marketing,Bachelors,Female,1,36,3,3,0,53,,1,
Sales & Marketing,Bachelors,Male,1,35,1,10,0,52,,1,
Legal,Masters & above,Male,1,40,5,4,1,59,,1,
Sales & Marketing,Bachelors,Male,2,38,3,10,0,50,,1,
Sales & Marketing,Bachelors,Male,1,27,2,4,1,51,,1,
Analytics,Bachelors,Male,1,31,3,4,0,88,,1,
Finance,Bachelors,Male,1,29,1,4,0,57,,1,
Procurement,Masters & above,Female,1,34,3,3,0,86,,1,
Sales & Marketing,Bachelors,Male,1,29,3,2,0,47,,3,
Technology,Bachelors,Male,2,27,N/A,1,1,81,,1,
Analytics,Bachelors,Male,2,27,2,3,0,84,,1,
Technology,Bachelors,Male,2,34,4,8,0,77,,1,
Sales & Marketing,Bachelors,Male,2,31,3,4,0,46,,1,
Sales & Marketing,Masters & above,Male,1,49,3,5,1,49,,1,
Operations,Bachelors,Female,1,44,3,11,0,59,,1,
Procurement,Masters & above,Male,1,52,3,9,1,70,,1,
Operations,Bachelors,Female,1,37,3,10,0,68,,1,
Procurement,Masters & above,Female,2,36,4,9,0,70,,1,
Finance,Bachelors,Male,1,28,5,7,1,61,,1,
Operations,Masters & above,Male,1,36,3,9,0,62,,1,
Sales & Marketing,Bachelors,Male,1,31,3,2,0,47,,1,
Technology,Bachelors,Female,1,58,5,17,1,76,,1,
Operations,Bachelors,Female,2,35,5,4,1,63,,1,
Analytics,Bachelors,Male,1,31,4,3,1,86,,1,
Technology,Bachelors,Female,2,33,4,10,0,75,,1,
Sales & Marketing,Masters & above,Male,1,33,4,3,1,51,,1,
Analytics,Bachelors,Male,1,33,3,8,1,84,,1,
Sales & Marketing,Masters & above,Male,1,37,3,7,1,50,,1,
Procurement,Bachelors,Male,1,44,3,16,0,69,,1,
Procurement,Masters & above,Male,1,48,3,2,0,74,,3,
Analytics,Bachelors,Female,1,28,N/A,1,1,83,,1,
HR,Masters & above,Female,1,42,5,5,0,44,,1,
Sales & Marketing,Bachelors,Female,1,32,3,3,0,53,,1,
Operations,Bachelors,Male,1,39,5,8,0,60,,1,
HR,Masters & above,Male,1,45,3,4,1,45,,3,
Sales & Marketing,Bachelors,Female,1,28,N/A,1,0,48,,1,
Operations,Bachelors,Male,1,40,5,10,1,60,,1,
Sales & Marketing,Bachelors,Male,1,32,5,8,0,63,,1,
Operations,N/A,Male,1,25,3,2,1,60,,1,
Technology,Bachelors,Female,1,60,3,14,0,79,,1,
Technology,N/A,Male,1,40,3,3,0,79,,1,
Procurement,Bachelors,Female,1,31,2,3,0,73,,1,
Operations,Bachelors,Male,1,26,2,3,1,62,,1,
Legal,Bachelors,Male,1,31,3,2,0,64,,1,
Sales & Marketing,Bachelors,Male,1,26,3,4,0,55,,1,
Technology,Bachelors,Male,4,34,3,6,0,81,,1,
Operations,Masters & above,Male,1,38,5,4,1,61,,1,
Sales & Marketing,N/A,Male,2,29,3,3,1,48,,1,
Procurement,Masters & above,Male,1,47,3,9,0,64,,1,
Procurement,Bachelors,Male,1,28,1,2,0,71,,1,
Analytics,Bachelors,Male,1,27,3,2,0,90,,1,
HR,Bachelors,Female,1,33,4,7,1,50,,1,
Technology,Masters & above,Male,1,36,1,4,0,82,,1,
Sales & Marketing,Bachelors,Male,1,26,5,3,1,47,,1,
R&D,Bachelors,Male,4,30,4,2,0,85,,1,
Technology,Bachelors,Male,2,33,3,5,0,82,,1,
Operations,Bachelors,Female,1,26,5,2,1,58,,1,
Sales & Marketing,Bachelors,Male,3,26,1,2,0,51,,1,
Sales & Marketing,Bachelors,Female,1,31,1,5,1,54,,1,
Sales & Marketing,N/A,Male,1,22,3,2,0,51,,1,
Sales & Marketing,Masters & above,Male,2,32,3,9,0,86,,1,
Procurement,Bachelors,Male,1,31,1,4,1,68,,1,
Analytics,Bachelors,Male,1,29,5,4,1,82,,1,
Analytics,Bachelors,Male,1,35,3,4,0,86,,3,
Analytics,Bachelors,Male,2,24,N/A,1,0,83,,1,
Procurement,Bachelors,Female,1,41,3,10,0,67,,1,
Operations,Bachelors,Female,1,37,3,5,0,62,,3,
Operations,Bachelors,Female,2,27,N/A,1,0,57,,1,
Sales & Marketing,Bachelors,Female,1,32,5,8,1,53,,1,
Sales & Marketing,Bachelors,Male,1,39,3,3,0,49,,1,
Sales & Marketing,Masters & above,Male,2,39,2,6,0,52,,1,
Sales & Marketing,Bachelors,Male,1,33,5,6,1,47,,1,
Procurement,Masters & above,Male,1,34,1,9,0,67,,1,
Operations,Masters & above,Female,1,49,4,19,0,61,,1,
Analytics,Bachelors,Male,1,29,3,6,0,85,,1,
Analytics,Bachelors,Male,2,34,4,9,0,79,,1,
Finance,N/A,Male,1,29,1,2,0,58,,1,
R&D,Bachelors,Male,2,45,4,7,0,83,,1,
Operations,Bachelors,Male,1,43,3,13,1,58,,1,
Operations,N/A,Male,1,42,2,4,0,55,,1,
Sales & Marketing,Bachelors,Male,1,30,1,4,1,52,,3,
R&D,Bachelors,Male,1,28,N/A,1,1,85,,1,
Analytics,Bachelors,Male,1,51,5,9,1,85,,3,
Analytics,Bachelors,Male,1,27,N/A,1,0,90,,1,
Analytics,Masters & above,Male,1,49,3,13,1,83,,1,
Operations,Bachelors,Female,1,41,5,15,1,60,,1,
Operations,Masters & above,Female,1,34,4,5,0,64,,1,
Technology,Masters & above,Male,1,34,4,5,1,79,,1,
Operations,Masters & above,Male,2,35,5,6,1,57,,1,
Procurement,Bachelors,Male,1,33,4,10,1,69,,1,
Technology,Masters & above,Female,2,37,3,8,0,81,,1,
Procurement,Bachelors,Male,3,34,3,6,1,69,,1,
Sales & Marketing,N/A,Male,1,29,2,3,0,48,,1,
Analytics,Bachelors,Male,1,33,3,6,1,84,,1,
Sales & Marketing,Masters & above,Male,1,39,1,9,0,53,,1,
Procurement,Masters & above,Female,1,39,2,10,0,67,,1,
HR,Masters & above,Female,1,36,3,10,0,49,,1,
Operations,N/A,Male,1,30,3,9,0,60,,1,
HR,Masters & above,Male,1,54,3,2,0,48,,1,
Technology,Masters & above,Male,1,34,1,6,0,77,,1,
Sales & Marketing,Bachelors,Male,1,37,5,8,1,48,,1,
Sales & Marketing,Bachelors,Male,2,47,3,15,0,47,,1,
Sales & Marketing,Bachelors,Male,1,38,2,6,0,49,,1,
Procurement,Bachelors,Male,1,37,1,2,0,70,,1,
Technology,Masters & above,Female,1,34,5,10,1,83,,1,
Operations,Bachelors,Male,1,41,3,5,0,61,,1,
Sales & Marketing,Masters & above,Male,1,32,4,2,0,50,,1,
Technology,Bachelors,Male,1,24,2,1,0,80,,1,
Operations,Bachelors,Female,1,31,5,5,0,71,,1,
Operations,Bachelors,Male,1,31,5,5,1,62,,1,
R&D,Bachelors,Male,1,35,5,6,1,80,,1,
Procurement,Masters & above,Male,1,38,2,5,0,64,,1,
Operations,Bachelors,Female,1,36,4,3,0,59,,1,
Finance,Bachelors,Male,2,38,1,12,0,59,,1,
HR,N/A,Male,1,30,3,2,0,52,,1,
Procurement,Bachelors,Female,1,26,1,2,0,67,,1,
HR,Bachelors,Female,2,32,1,5,0,50,,1,
Technology,N/A,Male,2,30,4,3,1,79,,1,
Sales & Marketing,Masters & above,Male,2,39,3,2,0,48,,1,
Sales & Marketing,Bachelors,Male,1,36,2,8,0,53,,1,
Operations,Bachelors,Male,2,30,3,4,0,58,,1,
Operations,Bachelors,Male,1,29,4,6,0,61,,3,
Procurement,Bachelors,Female,1,30,N/A,1,0,70,,1,
Operations,Bachelors,Male,1,29,3,3,0,60,,1,
Technology,Bachelors,Male,1,47,4,5,1,79,,1,
Finance,Bachelors,Male,1,27,2,3,0,62,,1,
Sales & Marketing,Bachelors,Male,1,58,4,27,0,50,,1,
Procurement,Bachelors,Female,2,46,3,13,1,71,,1,
Analytics,Masters & above,Male,1,42,2,8,0,82,,3,
HR,Bachelors,Female,1,24,N/A,1,1,52,,1,
Sales & Marketing,Masters & above,Male,1,36,1,9,0,50,,1,
HR,Masters & above,Female,1,39,5,10,1,46,,1,
Analytics,Bachelors,Male,1,31,3,4,0,89,,1,
Analytics,Masters & above,Male,1,27,3,4,0,84,,1,
Operations,Bachelors,Male,1,31,5,7,1,56,,3,
Sales & Marketing,Bachelors,Male,1,24,N/A,1,0,50,,1,
Finance,Masters & above,Male,1,36,5,4,0,59,,1,
Operations,Masters & above,Male,1,46,4,2,0,57,,1,
Sales & Marketing,Bachelors,Female,1,29,1,3,0,50,,3,
Analytics,Bachelors,Male,3,29,N/A,1,0,83,,1,
Technology,Bachelors,Male,3,30,3,3,1,79,,1,
Sales & Marketing,Masters & above,Male,1,35,3,5,0,49,,1,
Analytics,Masters & above,Male,1,37,5,3,0,83,,1,
Sales & Marketing,Bachelors,Male,2,36,3,4,0,44,,1,
Technology,Bachelors,Male,1,27,5,2,1,80,,1,
Sales & Marketing,Masters & above,Female,1,31,3,3,0,53,,1,
Technology,Masters & above,Male,1,37,5,10,1,87,,1,
Operations,N/A,Male,1,28,3,6,0,60,,1,
Operations,Bachelors,Female,1,43,3,7,1,59,,1,
Procurement,Masters & above,Male,1,45,3,5,0,70,,1,
Procurement,Bachelors,Male,1,34,3,5,0,71,,1,
Operations,Bachelors,Male,1,27,4,2,1,63,,1,
Sales & Marketing,Bachelors,Male,1,30,3,6,0,53,,1,
Procurement,Bachelors,Male,1,39,2,3,0,70,,1,
Operations,Bachelors,Male,2,36,4,7,1,59,,1,
Analytics,Masters & above,Male,1,34,5,7,1,90,,1,
Legal,Bachelors,Male,1,46,5,6,0,61,,1,
Analytics,Masters & above,Male,1,30,3,2,0,84,,1,
Sales & Marketing,Bachelors,Female,1,27,1,3,0,51,,1,
Finance,Bachelors,Male,2,28,5,7,1,60,,1,
Operations,Masters & above,Female,1,33,4,7,1,61,,1,
Operations,Masters & above,Male,1,37,5,3,0,59,,1,
Sales & Marketing,Bachelors,Male,1,31,2,7,0,49,,1,
Technology,Bachelors,Male,1,57,5,15,1,84,,3,
HR,Below Secondary,Female,1,24,N/A,1,0,52,,1,
Operations,Bachelors,Female,2,32,3,7,1,63,,1,
Operations,Bachelors,Male,1,28,5,2,1,96,,1,
Technology,Bachelors,Female,2,33,3,7,0,85,,1,
R&D,Masters & above,Male,1,37,1,8,0,83,,1,
Operations,Bachelors,Female,1,31,5,4,1,56,,1,
Procurement,Bachelors,Male,4,32,1,7,0,69,,1,
Operations,Masters & above,Female,1,33,5,3,0,61,,1,
HR,Bachelors,Female,1,25,3,3,0,49,,1,
Analytics,Bachelors,Male,1,32,4,7,0,82,,1,
Finance,Bachelors,Female,1,39,3,12,0,59,,1,
Technology,Bachelors,Male,1,52,4,21,1,80,,1,
Sales & Marketing,Bachelors,Male,1,28,3,5,1,53,,1,
Procurement,Bachelors,Male,1,33,4,7,1,71,,3,
Procurement,Bachelors,Male,1,28,N/A,1,1,73,,1,
Operations,Masters & above,Male,1,44,3,2,1,56,,3,
Operations,Bachelors,Male,1,29,N/A,1,0,64,,1,
Sales & Marketing,Bachelors,Male,4,27,3,2,0,51,,1,
Sales & Marketing,Bachelors,Male,1,30,4,2,0,50,,1,
Technology,Bachelors,Female,1,41,4,7,0,79,,1,
Operations,Bachelors,Male,1,56,3,14,1,63,,1,
Technology,Bachelors,Female,2,50,3,19,0,81,,3,
Technology,Below Secondary,Female,1,21,N/A,1,0,82,,1,
Analytics,Bachelors,Male,1,32,5,5,0,85,,1,
Sales & Marketing,Bachelors,Male,2,30,4,6,0,52,,1,
Operations,Masters & above,Male,2,47,3,19,0,63,,1,
Sales & Marketing,Bachelors,Male,1,35,1,5,0,62,,1,
Sales & Marketing,Masters & above,Male,1,36,5,7,1,50,,1,
HR,Bachelors,Male,2,30,5,4,0,48,,1,
Analytics,Bachelors,Male,1,38,4,10,1,84,,1,
Technology,Bachelors,Female,1,33,4,7,1,82,,1,
Operations,Bachelors,Female,1,32,3,7,1,96,,1,
Procurement,Bachelors,Male,1,45,3,5,1,73,,1,
Sales & Marketing,Bachelors,Female,1,30,2,4,0,54,,1,
Technology,Bachelors,Male,1,35,1,7,0,85,,1,
Sales & Marketing,Bachelors,Male,1,29,5,6,0,46,,1,
Sales & Marketing,Masters & above,Male,2,33,5,3,1,50,,1,
Operations,Bachelors,Male,1,35,2,6,0,56,,1,
Sales & Marketing,Bachelors,Male,1,35,5,4,1,46,,1,
Technology,N/A,Male,2,41,3,7,0,82,,1,
Finance,Bachelors,Male,2,26,1,2,0,60,,1,
Finance,Bachelors,Male,1,36,2,3,0,60,,1,
Sales & Marketing,Masters & above,Female,1,37,4,8,0,48,,1,
Operations,Masters & above,Male,1,40,4,4,0,64,,1,
Operations,Bachelors,Male,1,28,3,5,0,61,,1,
Operations,Bachelors,Female,1,30,3,3,0,59,,3,
Sales & Marketing,Bachelors,Male,3,26,N/A,1,0,52,,1,
Procurement,Bachelors,Female,1,37,3,5,0,69,,1,
Operations,Bachelors,Female,1,41,5,4,1,58,,1,
Procurement,Masters & above,Female,2,39,3,3,0,68,,1,
Operations,Bachelors,Male,1,32,2,7,0,60,,1,
Sales & Marketing,Bachelors,Male,1,36,1,3,1,47,,1,
Procurement,Bachelors,Male,3,25,3,5,0,69,,1,
Sales & Marketing,N/A,Male,1,20,3,2,0,50,,1,
Sales & Marketing,Bachelors,Male,1,26,3,3,0,46,,1,
Operations,Masters & above,Female,1,52,4,16,1,61,,1,
Operations,Bachelors,Male,1,27,3,3,0,56,,1,
Finance,Masters & above,Male,1,40,2,6,1,56,,1,
Sales & Marketing,Bachelors,Male,2,36,2,2,0,52,,1,
R&D,Masters & above,Male,1,28,4,4,1,85,,1,
Procurement,Masters & above,Male,1,36,3,3,0,72,,1,
Sales & Marketing,Bachelors,Female,2,29,1,3,0,47,,1,
Technology,Masters & above,Male,1,33,3,4,0,81,,1,
Sales & Marketing,Masters & above,Male,1,34,4,3,0,49,,3,
Sales & Marketing,Bachelors,Male,1,28,N/A,1,0,51,,1,
R&D,Masters & above,Male,1,31,4,4,0,94,,3,
Technology,Bachelors,Female,2,32,N/A,1,1,82,,1,
Technology,Bachelors,Male,3,29,3,3,0,81,,1,
Technology,Bachelors,Male,1,29,3,5,0,79,,1,
Sales & Marketing,Bachelors,Male,2,38,4,4,0,46,,1,
Sales & Marketing,Bachelors,Male,1,32,3,5,0,52,,1,
Procurement,Masters & above,Female,1,35,3,9,0,68,,1,
Sales & Marketing,Bachelors,Male,2,32,2,8,0,49,,1,
Sales & Marketing,Bachelors,Male,1,33,2,3,0,48,,1,
Operations,Bachelors,Male,2,27,5,4,0,61,,1,
Sales & Marketing,Bachelors,Male,1,30,4,5,0,50,,1,
HR,Bachelors,Female,1,28,3,4,0,50,,1,
Operations,Bachelors,Male,1,49,3,19,0,61,,1,
Technology,Masters & above,Male,1,44,2,12,0,80,,1,
Procurement,Masters & above,Female,1,37,3,10,0,73,,1,
Sales & Marketing,Masters & above,Male,1,37,4,5,1,51,,1,
Sales & Marketing,Bachelors,Male,1,27,3,2,1,53,,1,
Sales & Marketing,Masters & above,Male,1,54,3,13,0,48,,1,
Operations,Bachelors,Male,1,36,3,11,0,58,,1,
Procurement,Bachelors,Female,2,36,4,9,0,70,,1,
Operations,Bachelors,Male,1,37,4,7,1,57,,1,
Operations,Bachelors,Male,2,34,5,4,1,60,,1,
Sales & Marketing,Bachelors,Female,1,23,4,2,0,46,,1,
Operations,Masters & above,Male,1,37,5,6,0,58,,1,
Analytics,Masters & above,Male,3,37,1,10,0,83,,1,
Finance,Bachelors,Male,1,34,1,8,0,59,,1,
Operations,Bachelors,Male,1,26,3,5,1,58,,1,
Sales & Marketing,Bachelors,Male,2,33,1,8,0,49,,1,
Legal,Bachelors,Male,1,28,5,2,0,75,,1,
Operations,Bachelors,Female,1,39,5,3,1,55,,1,
Sales & Marketing,Bachelors,Female,1,38,3,2,1,52,,1,
Technology,Bachelors,Female,1,42,1,6,0,83,,1,
HR,Bachelors,Male,1,35,2,5,0,51,,1,
Technology,Bachelors,Male,1,30,2,5,0,86,,1,
Sales & Marketing,Bachelors,Male,1,30,4,4,1,50,,3,
Finance,Bachelors,Female,1,25,N/A,1,1,64,,1,
Analytics,Bachelors,Male,1,38,5,2,1,86,,1,
Sales & Marketing,Masters & above,Male,1,31,1,6,0,50,,1,
Sales & Marketing,Bachelors,Male,1,37,4,10,0,52,,1,
Operations,Bachelors,Male,3,26,5,4,1,63,,1,
Procurement,Masters & above,Female,1,31,3,8,0,70,,1,
Sales & Marketing,N/A,Male,1,23,4,2,0,51,,1,
Operations,Masters & above,Male,1,57,3,5,0,61,,1,
Operations,N/A,Male,1,31,3,5,0,61,,1,
Analytics,N/A,Male,1,27,4,3,1,84,,1,
HR,Bachelors,Female,1,52,5,16,0,48,,1,
Technology,Masters & above,Female,1,31,4,2,1,83,,1,
Procurement,Bachelors,Male,1,36,4,4,0,71,,1,
Sales & Marketing,Masters & above,Male,2,45,1,16,0,44,,1,
Sales & Marketing,Bachelors,Female,1,27,1,2,0,51,,1,
Sales & Marketing,Masters & above,Male,1,32,1,7,0,49,,1,
Sales & Marketing,Masters & above,Male,3,55,3,13,0,47,,1,
Technology,Bachelors,Male,1,35,2,9,0,77,,1,
Operations,Bachelors,Female,1,29,1,2,0,55,,1,
Sales & Marketing,Bachelors,Male,1,38,5,8,0,57,,1,
Sales & Marketing,N/A,Male,1,36,5,8,1,49,,1,
Sales & Marketing,Bachelors,Male,1,41,5,3,0,50,,1,
Procurement,Masters & above,Male,1,40,2,11,0,67,,1,
Analytics,Bachelors,Male,1,31,4,3,1,87,,1,
Analytics,Bachelors,Male,1,30,3,4,1,92,,3,
Technology,Bachelors,Male,1,27,N/A,1,1,78,,1,
Technology,Bachelors,Female,1,29,1,2,0,72,,1,
Operations,Bachelors,Male,1,41,5,7,0,58,,1,
Procurement,Masters & above,Female,1,37,3,7,0,72,,1,
Sales & Marketing,Bachelors,Male,1,40,5,6,0,48,,1,
Operations,Bachelors,Female,1,27,2,6,1,61,,1,
Analytics,Masters & above,Female,1,32,5,4,1,85,,1,
Technology,Masters & above,Male,1,33,3,4,0,81,,1,
Sales & Marketing,Bachelors,Male,1,29,3,2,0,52,,1,
Technology,Masters & above,Male,1,33,3,6,1,84,,1,
Analytics,Bachelors,Male,1,34,5,7,1,85,,1,
Finance,Bachelors,Male,1,27,5,2,0,50,,1,
Sales & Marketing,Bachelors,Male,1,27,1,2,1,51,,1,
Operations,Bachelors,Male,2,30,5,4,1,61,,1,
Sales & Marketing,Masters & above,Male,3,46,1,14,0,52,,1,
Sales & Marketing,Bachelors,Male,1,36,3,3,0,49,,1,
Sales & Marketing,Bachelors,Male,2,27,5,2,0,54,,1,
Technology,Bachelors,Male,2,30,5,5,1,80,,3,
Technology,Bachelors,Male,2,25,N/A,1,0,80,,1,
Finance,Bachelors,Male,2,38,4,3,0,59,,1,
Sales & Marketing,Bachelors,Male,1,46,4,21,0,44,,1,
Sales & Marketing,Bachelors,Male,1,33,5,2,1,49,,1,
Procurement,Masters & above,Male,1,33,1,9,1,69,,1,
Legal,Bachelors,Male,1,29,1,3,0,60,,1,
Sales & Marketing,Bachelors,Male,1,30,2,7,0,51,,1,
Operations,Bachelors,Female,1,27,3,2,0,63,,1,
Technology,Masters & above,Male,1,39,3,14,0,77,,1,
Sales & Marketing,Bachelors,Male,1,34,2,9,0,47,,1,
Sales & Marketing,Bachelors,Male,1,35,3,5,0,52,,1,
Procurement,Bachelors,Male,1,26,3,3,0,64,,1,
Technology,Bachelors,Male,1,29,2,2,0,82,,1,
Sales & Marketing,Bachelors,Female,1,33,1,5,0,49,,1,
Procurement,Bachelors,Male,1,30,4,7,1,73,,1,
Technology,Bachelors,Female,1,53,5,17,0,80,,1,
Technology,Bachelors,Male,2,30,4,3,0,80,,1,
Sales & Marketing,Masters & above,Male,1,47,5,18,0,52,,1,
Procurement,Bachelors,Male,1,34,4,2,1,69,,1,
Procurement,Bachelors,Male,2,29,4,2,0,71,,1,
Analytics,Bachelors,Male,1,37,5,8,0,81,,1,
Sales & Marketing,Bachelors,Male,1,24,3,2,1,51,,1,
Sales & Marketing,Masters & above,Female,1,43,4,2,1,48,,1,
Operations,Masters & above,Male,1,50,5,13,1,64,,1,
HR,Bachelors,Male,1,35,5,10,1,49,,1,
Sales & Marketing,Bachelors,Male,1,31,3,6,0,46,,3,
Sales & Marketing,N/A,Male,1,20,N/A,1,0,48,,1,
Sales & Marketing,Bachelors,Male,1,25,2,2,0,48,,1,
Legal,Bachelors,Male,1,34,5,5,1,63,,3,
Technology,Bachelors,Female,2,27,N/A,1,0,77,,1,
HR,Masters & above,Male,2,39,3,10,0,53,,1,
Finance,Bachelors,Male,2,31,2,3,0,65,,1,
Sales & Marketing,Bachelors,Male,1,31,4,2,1,48,,1,
Procurement,Below Secondary,Male,1,21,5,2,1,72,,1,
Sales & Marketing,Bachelors,Male,1,34,4,8,0,50,,1,
HR,Bachelors,Male,1,33,3,6,1,52,,1,
Technology,Bachelors,Male,1,30,3,4,0,78,,1,
Sales & Marketing,Bachelors,Male,1,33,5,6,0,52,,3,
Sales & Marketing,Bachelors,Male,1,27,N/A,1,0,51,,1,
Analytics,Masters & above,Male,2,35,3,6,1,87,,3,
Procurement,Below Secondary,Male,2,22,N/A,1,0,71,,1,
Analytics,Bachelors,Male,1,29,3,2,1,82,,1,
Technology,Bachelors,Female,1,28,4,5,0,78,,1,
Technology,Bachelors,Female,1,39,3,4,1,77,,1,
Sales & Marketing,Bachelors,Female,1,29,4,5,0,49,,1,
Sales & Marketing,Masters & above,Male,1,40,2,12,0,48,,3,
Operations,Bachelors,Male,1,31,N/A,1,0,64,,1,
Operations,Masters & above,Male,1,41,5,9,0,79,,3,
Technology,Bachelors,Male,2,27,N/A,1,0,82,,1,
Operations,Masters & above,Female,1,35,3,5,1,55,,1,
Operations,Bachelors,Female,1,27,2,3,0,59,,1,
Analytics,Bachelors,Female,1,30,5,9,1,85,,1,
Finance,Bachelors,Male,1,37,5,9,0,60,,1,
Technology,Below Secondary,Female,1,22,5,2,1,79,,1,
Procurement,Masters & above,Male,1,34,5,7,1,70,,1,
Operations,Bachelors,Female,2,27,5,2,1,60,,1,
Operations,Bachelors,Male,1,46,5,6,1,60,,1,
Operations,Masters & above,Female,1,33,4,4,1,53,,1,
Sales & Marketing,Bachelors,Female,1,29,5,2,0,51,,1,
Sales & Marketing,N/A,Male,1,39,1,9,0,48,,3,
Procurement,Bachelors,Female,1,25,N/A,1,0,67,,1,
Operations,Bachelors,Female,1,33,2,3,0,58,,1,
